viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,publishedAt,playlist_anme
713620,60645,2050,0,2729,"Опасные ошибки, которые мы не замечаем | ВЖУХ",2020-07-08T20:13:20Z,🌠 Рубрика ВЖУХ. Главные идеи лучших книг
232330,24880,442,0,1508,"КАК НАС ОБМАНЫВАЮТ, ГОВОРЯ ПРАВДУ | ВЖУХ",2020-09-10T18:42:15Z,🌠 Рубрика ВЖУХ. Главные идеи лучших книг
395740,34786,534,0,1493,ПРОБЛЕМА ВОСКРЕШЁННОГО МОЗГА | рубрика ВЖУХ | книга The Idea of the Brain,2020-09-26T10:59:03Z,🌠 Рубрика ВЖУХ. Главные идеи лучших книг
181070,16013,284,0,1001,ЦИФРОВАЯ ПРОБЛЕМА МОЗГА | рубрика ВЖУХ | книга The Idea of the Brain,2020-10-23T20:15:58Z,🌠 Рубрика ВЖУХ. Главные идеи лучших книг
111360,9451,288,0,469,Главный миф о поведении людей во время катастроф | Влад Гончарук,2020-06-04T16:52:55Z,Влад Гончарук
111360,9451,288,0,469,Главный миф о поведении людей во время катастроф | Влад Гончарук,2020-06-04T16:53:17Z,Влад Гончарук
713620,60645,2050,0,2729,"Опасные ошибки, которые мы не замечаем | ВЖУХ",2020-06-17T22:32:06Z,Влад Гончарук
508860,31185,1717,0,3716,Что нам будут колоть?,2020-06-25T15:03:01Z,Влад Гончарук
561054,34317,1443,0,1000,"Реальные загадочные места, куда никогда не попасть | ПУШКА",2020-07-08T10:02:49Z,Влад Гончарук
233061,16476,477,0,1272,Простая манипуляция подсознанием,2020-07-30T15:30:49Z,Влад Гончарук
401188,31541,920,0,1311,ФИЗИКИ ВПЕРВЫЕ ДОБЫЛИ ИЗ СВЕТА МАТЕРИЮ | ПУШКА,2020-09-17T19:56:01Z,Влад Гончарук
395740,34786,534,0,1493,ПРОБЛЕМА ВОСКРЕШЁННОГО МОЗГА | рубрика ВЖУХ | книга The Idea of the Brain,2020-09-26T10:59:03Z,Влад Гончарук
181070,16013,284,0,1001,ЦИФРОВАЯ ПРОБЛЕМА МОЗГА | рубрика ВЖУХ | книга The Idea of the Brain,2020-10-23T20:15:58Z,Влад Гончарук
355278,30228,824,0,995,Учёные оживили древних червей в вечной мерзлоте Сибири | ПУШКА,2020-11-13T10:45:58Z,Влад Гончарук
133307,17541,174,0,1227,КАК ФАРМБИЗНЕС СКРЫВАЕТ ПРОБЛЕМЫ,2020-11-25T12:58:17Z,Влад Гончарук
125162,17384,875,0,2058,"ЧТО, ЕСЛИ ОТМЕНИТЬ СТАНДАРТНЫЕ ШКОЛЫ?",2020-12-13T08:44:45Z,Влад Гончарук
280196,24504,842,0,1315,Вспышка неизвестной болезни. На этот раз в Индии,2020-12-16T12:48:31Z,Влад Гончарук
440852,61657,1605,0,7646,ЗА НАМИ ПРИШЛИ (временный ролик для своих),2021-01-18T19:15:56Z,Влад Гончарук
438871,38184,1029,0,1296,Открыто новое СОСТОЯНИЕ ВЕЩЕСТВА | Пушка,2021-01-21T17:38:06Z,Влад Гончарук
240176,22342,399,0,1406,Машина создала геном НОВОГО ЧЕЛОВЕКА | Пушка,2021-02-12T17:51:06Z,Влад Гончарук
331925,23597,511,0,2808,Люди В ОСОЗНАННОМ СНЕ вышли на связь | Пушка,2021-02-23T16:49:44Z,Влад Гончарук
748521,62559,844,0,2049,Проклятие вавилонской башни: что невозможно сказать | Артур Шарифов,2020-08-24T12:57:28Z,Up Great - Технологические конкурсы
701410,52311,1015,0,2101,Самая сложная для машин задача | Артур Шарифов,2020-05-12T15:50:19Z,Up Great - Технологические конкурсы
326063,25062,447,0,1525,Твое БУДУЩЕЕ в мире РЕАЛЬНОГО ИИ | Артур Шарифов,2020-05-12T16:20:31Z,Up Great - Технологические конкурсы
401612,23375,640,0,679,Проклятие изобретателей | feat. Артур Шарифов,2020-05-12T16:20:31Z,Up Great - Технологические конкурсы
401204,21193,553,0,783,Бесы беспилотников | feat. Артур Шарифов,2020-05-12T16:20:31Z,Up Great - Технологические конкурсы
72121,6049,225,0,340,Ядерная криминалистика | Роман Лаас,2020-03-28T20:37:29Z,☢️ Ядерный Лаас ☢️
322315,23745,815,0,2062,"""Зелёная"" ЛОВУШКА ядерной энергии",2020-03-28T20:38:00Z,☢️ Ядерный Лаас ☢️
72780,5633,95,0,402,Зачем создавался этот ядерный реактор?,2020-04-16T12:37:39Z,☢️ Ядерный Лаас ☢️
152589,14953,264,0,1381,"ОНИ ХОТЯТ, ЧТОБЫ МЫ МОЛЧАЛИ | Частное мнение // Александр Панчин",2019-09-12T07:32:01Z,ЧАСТНОЕ МНЕНИЕ
135041,10295,591,0,1943,Библия ПРАВА... в мультивселенной | Частное мнение // Александр Панчин,2019-10-17T09:05:19Z,ЧАСТНОЕ МНЕНИЕ
76617,5807,286,0,879,Почему нужны ГУМАНИТАРИИ? | астрофизик Сергей Попов / Частное мнение,2019-12-10T12:06:35Z,ЧАСТНОЕ МНЕНИЕ
49860,3197,189,0,380,Почему я не боюсь и люблю современное искусство и философию | Сергей Попов. Частное мнение,2020-03-06T10:08:52Z,ЧАСТНОЕ МНЕНИЕ
176356,16595,261,0,688,"Неизвестный отец электроники | ""Изменившие мир"" с Артуром Шарифовым",2019-07-04T19:36:16Z,Изменившие мир
68659,7013,252,0,662,Почему секс пришлось изобретать ЗАНОВО | Артур Шарифов,2021-02-18T13:16:15Z,Артур Шарифов
53924,4305,486,0,591,Поехать учиться за границу. Опыт молодых учёных | Артур Шарифов,2021-01-12T15:09:57Z,Артур Шарифов
325301,32128,658,0,1436,Почему вирусы почти непобедимы | Артур Шарифов & SciOne,2020-08-29T07:17:04Z,Артур Шарифов
748521,62559,844,0,2049,Проклятие вавилонской башни: что невозможно сказать | Артур Шарифов,2020-08-24T12:57:28Z,Артур Шарифов
701410,52311,1015,0,2101,Самая сложная для машин задача | Артур Шарифов,2020-05-12T15:50:19Z,Артур Шарифов
382486,27731,740,0,1229,Предсказание ХАОСА,2019-12-31T11:43:24Z,Артур Шарифов
326063,25062,447,0,1525,Твое БУДУЩЕЕ в мире РЕАЛЬНОГО ИИ | Артур Шарифов,2019-12-22T16:49:45Z,Артур Шарифов
552645,38643,908,0,1471,Как НЕ НАДО изобретать (feat. Никола Тесла)  | Артур Шарифов,2019-10-28T11:43:57Z,Артур Шарифов
517576,40190,1270,0,1666,Когда человечество проснулось. Это было не навсегда | Артур Шарифов,2019-09-25T18:24:38Z,Артур Шарифов
176356,16595,261,0,688,"Неизвестный отец электроники | ""Изменившие мир"" с Артуром Шарифовым",2019-07-04T19:13:55Z,Артур Шарифов
279406,26443,401,0,927,Предсказания из машины | Артур Шарифов,2019-06-30T20:05:11Z,Артур Шарифов
496383,41243,1008,0,1401,"Искусство, опередившее науку | Артур Шарифов",2019-06-19T18:30:38Z,Артур Шарифов
912701,62121,2099,0,3121,Сон как ошибка | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
192015,14868,523,0,724,"Что, если бы Стив Джобс продавал ядерные реакторы",2019-05-30T12:19:03Z,Артур Шарифов
533545,38264,623,0,1122,Так появился Интернет | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
538750,34558,653,0,1083,Первая в истории фотография | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
401612,23375,640,0,679,Проклятие изобретателей | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
